@relation categoria
@attribute texto string
@attribute class string
@data
fuentes sobre el terremoto en chile http://bit.ly/auedsj,Comunicación
sube el parte de víctimas: las autoridades chilenas informan de que al menos 64 personas fallecieron en las... http://bit.ly/awx73m,None
despierta desde el terremoto y no puedo pegar un ojo #terremotochile,None
en magallanes estamos muy preocupados por parral y concepció,Comunicación
#internetnecesario rt @ac_scl se recogió el mar en algarrobo informa radio bio bio!! // precaucion ante tsunami @drpisanty sismologicos wrld,Comunicación
...ssssshhh... ¡ no twitteen muy alto lo del #terremotochile que van a despertar a cir,None
rt: @larepublica_pe: toda la información recabada hasta el momento sobre el sismo en chile http://bit.ly/bpj7iv #terremotochile,None
@nitosarmiento mandame los numeros para avisar,None
aplausos para la periodista de tv chil,None
rt @candeladangelo: la del noticiero de chile es una capa miren la onda qe le pone la min,None
vamos todavía hermanos chilenos...! un abrazo solidario para lo que queda de noche,None
rt @ginsuap: todo el apoyo a los amigos chilenos!! vamo arribaaaaa,None
chamoooo el temblor se produjo fue en el oceano pacificooo 90 km cerca de la ciudad de santiagoo tan (cont) http://tl.gd/c6nbi,Comunicación
la gente esta muy muy asustada aun! :s fuerza chile! #terremotochile  (#moteconhuesillo live at http://ustre.am/cug7),None
rt http://www.diariouno.com.ar/ http://www.losandes.com.ar/ y http://www.mdzol.com/ noticias del terremoto en argentina,None
transito en providencia cortad,Comunicación
rt @jerld: rt @stefaniam: omg!  rt @noticiasvenezue: cnn informa de olas de 9 metros en chile y perú #terremotochile,Comunicación
en mendoza cinco replicas...fuck qiero saber como esta mi amiga :|,Personas
@omarzh om estoy en un cerro en isla negr,Personas
en estos momentos veo mucho inmigrante peruano en las calles con miedo por regresar a los precarios cités en el centro de santiago.,Seguridad
oficialmente  @roycampos han dado ese grado en chile o sólo podemos usar ese comparativo que compartio @apisanty ?,None
reporte del #terremotoenchile http://pastebin.com/xzvhqktg por @nediaz #chile,None
chile demuestra su desarrollo ayer con la grandeza del festival hoy en la coordinada atención ante la emergencia de un terremoto...,None
rt @montesdetoledo: el terremoto que ha sacudido chile es el 2º mayor en los últimos 20 años en el mundo: http://bit.ly/96ydqb #terremot ...,None
me salve de no tener el auto ahí por andar carreteando!!! http://twitpic.com/15m88u,None
@verocanales al otro lado del rio. debe estar mas o menos cuatica la cosa en el arrayan,Comunicación
aeropuerto de santiago de chile seriamente dañado tras el terremoto,Comunicación
47 muertos en chile por el terremoto hasta los momentos  no se saben si hay mas victimas han habido 4 replicas,None
de cuanto fue el #terremotoenchile?,None
mi gran apoyo alos hermanos de chile,None
porfavor angelito de mi gaurda y de mi dulce compania no dejes q llegue el tsunami hasta la costa de san francisco o tendremos probemas :[,None
aun veo una columna de humo bastante negro hacia renca y conchali !!! #chile,Comunicación
@verocanales las hijas de mi esposo viajan hoy (se supone) a antofagasta después de pasar el verano con nosotros.,None
en vivo: ministro del interior recomienda permanecer en sus casas: numerosos cortes en carretera,Seguridad
rt @cruzrojainforma: reúna agua en tinas y otros recipiente,Agua
últimas noticias del #terremotochile en la televisión chilena http://bit.ly/cmdpdu,None
dios mio... me levanto para estudiar y veo esto... terremoto en chile y tsunami en japón... o.o,None
están trabajando para restablecer comunicaciones #terremotochile (bachelet),Comunicación
bachelet: hay una enorme cantidad de daños que no sabemos su exacta dimensión #terremotochile,None
es la replica mas fuerte,None
@tvn_mauricio en que pagina puedo ver los lugares mas impactados por el sism,Comunicación
@anahi aun estás en chile?estás bien?contestame por favo,Personas
@yosoyallendista desde venezuela toda la fuerza y solidaridad con todo chile!!! de dia se ve la magnitud. aca todos pendientes,None
#terremotochile ¿mala evaluación del servicio de celulares para emergencias...? (otra réplica),Comunicación
joer enternandome de lo de chile  en cnn tambien esta!,None
nada grave?! gracias a dios!! orando por chile!! mantenganse seguros!!  (#moteconhuesillo live at http://ustre.am/cug7),None
cnn en español ya está mencionando el hecho #terremotochile y menciona twitter como fuente de información,None
mmm... atento a lo del #terremotochile  mediante @razctek y @roblesmaloof,None
ai no el colmo!!-- al tanto de todas las noticias y no sabia lo de chile!,None
rt @jguerrero primeras fotos de temblor chile http://twitpic.com/15livb,None
rt @sarahilezama: rt @calle13oficial a los chilenos que estan fuera de su país ..esten mas tranquilos. lo mas fuerte parece que ya paso..,None
rt: @arojasjimenez: terremoto en chile es de,None
omg! terremoto de 8.5 en #chile?!,None
@indiferencia @cnagency: cobertura en vivo del terremoto de chile por ustream: http://bit.ly/bnjhzj // lo estoy viendo ahora.,None
rt @monicamateosv: rt @cachacuasmx: la magnitud de este terremoto supera por mucho al de haití. pero con mucho #terremotochile,None
amigos preparense para las replicas porfa!!!!!!!!!!!,None
@flowhotwebsite advertencia de tsunami mas detallada http://www.prh.noaa.gov/ptwc/messages/pacific/2010/pacific.2010.02.27.064454.txt,None
rt @geographile: rt @rodrigobno: no hay comunicaciones en santiago. la metrópoli sin energía eléctrica. es la pesadilla. bio bio fuera d ...,Electricidad
rt @asaliah_vz: que todos nuestros amigos chilenos y los twitteros chilenos esten bien y que no sea mas que no gran susto. : #terremotochile,None
@camilasandoval_ ni si quiera puedo llamar a mi papás y decirles que estoy bien,Personas
@laciudadelpoeta y como te enteraste del terremoto?,None
rt @carolinamillan: llamado a no recorrer las calles en automóvil - escuchando a @tvn_monicar entrevistar al subsecretario #terremotochile,Seguridad
16 muertos confirmados en chile // 16 confirmed dead in chile (#moteconhuesillo live at http://ustre.am/cug7),None
mapa de chile por regiones:  http://bit.ly/94yreh (vía @pericomp3),None
a tsunami watch is in effect for colombia / antarctica / panama / costa rica / nicaragua / pitcairn / honduras / el salvador /,None
rt @leoprieto: estructura de estacionamiento se derrumbó en las conde,Seguridad
47 muertos #terremotochile la noticia es confirmada =(,None
ahora chile!!! ¿por qué tiembla tanto ultimamente?,None
rt @curvaspoliticas sin luz viña del mar/santiago #earthquake #chile 8.5 usgeo concepcion epi. tsunami alerta para costa,Electricidad
rt @indiferencia: rt @mikhel: #terremotochile a ver si el hashtag nos da algo de info de los amigos en chil,None
diosss chileeeee 8.5 dioss ojala y todos esten biennn!!! que miedo se~or cuidalos a todos por alla aii dioss,None
alguna info de chile? 8.3 es algo brutal. donde fue el epicentro? mar o tierra?,Comunicación
rt @villavorzov: @rockeraroja saludos ya no contestas. cual sissmo?// que no contestó? un terremoto en chile de 8.3,None
@calle13oficial mis pensamientos están con el pueblo chileno,None
@calle13oficial no encuentro nada en la re,None
@patricionavia en el sector de recoleta muchas casas en el suelo y choques de  autos  en  recoleta  altura del 3.000 casi llegar a dorsal,None
rt @roycampos: rt @diegovivas: utilicen el hashtag #terremotochile para recolectar toda la información que posean. por favor.,None
increíble lo importante de twitter para situaciones como la de #chile,None
@soledadonetto  8.3...y muy poca información por el momento @cooperativa.cl,None
ojala aki fuera igual rt @juanes: un aplauso por el dictamen de la corte constituciona,None
puta que la merda! essa cara toca muito no guiatr hero  -  http://www.youtube.com/watch?v=bpliru1sdtc&feature=related,None
rt @luciaa_jb: rt : si piensas que el disney channel latinoamerica es un asco ! x que se demoran 20000 aÑos en estrenar serie,None
porque viene cn las mismas cancione,None
@melkristen concierto d ellos en mi ksa no iras no tienes permiso!! es peliigroso x ahii!! no vamos a ir! po mas chevre q suene ese concert,None
cual es el face de verdd de anny???  (@fuentesilva)http://yfrog.com/4encybj,None
y tenemos temblor!,None
el papa es una piedra filosofal!!!!,None
@anibalgr hablamos de viejos,None
rt @twiterillo: la cantante @fanny_lu salió perjudicada porque #arjona se niega a cerrar (via @ivanvalenzuela) || ..y así con los divos  ...,None
menem generó impasse en el senado tras faltar a votación clave http://url4.eu/1up0m,None
@bruunomiguel me segue por favor *o*,None
a too esto.....brooks se sigue cagando a la anfp xd....la camiseta nueva es horrible,None
pucha que es bueno el último disco de jamie cullu,None
arjona es un talego de gónadas... voy a ver algo por vod hoy.,None
pido disculpas a los fans de #arjonachanta,None
me causo cuando kev en el cap dijo .... en el estudio de grabÚcion jajajajaja,None
me cago monumentalmente en arjona de una manera que no imaginan se necesitan matematicos y fisicos para calcular  todo lo que me cago en el,None
@ivanvalenzuela rt @seba_silva: no es por nada pero como que deberìan haber hecho un concurso para los twitteros..somos mas fieles #vina2010,None
@marcelo_osorio_  pa no meter mas las patas,None
rt @foxtroy: chao con arjona ¿qué se cree el weón? ponemos un cd con canciones bajasdas del ares y lo tenemos cantando igual #vina2010,None
pq mi cd no es así http://bit.ly/d4hpvm recien me fijo,None
@soledadonetto espero que disfrutes el concierto de arjona quien commo tu :d,None
@gonzalolarenas si de todas maneras yo tambien he visto cosas asi... pero esto justamente debe acabar.,None
@camiescobar ya lo leí,None
"""aquel que duda y no investig ",None
@whoiscarlos http://twitpic.com/14lorq - que tensa!,None
igual palos para ti nicolá,None
porrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,None
qué no es rony palma??? #arjonachanta #mtuit,None
@pipedelgado con un vodka al lad,None
@dalila_uruguaya oh que mala estan pasando arjona tvn chile,None
@mparadalopez prometel,None
antorcha ! aunque no me guste mucho arjona me se todas las canciones! que penosaxd,None
los premios no se piden!!!,None
por miedo a quedar solo,None
no quiero entrar al colegi,None
@soledadonetto sole!!! ya que lo saludaste de cerc,None
"es gracioso ver a los gatos subir una especie de ""escalera"" vertical... ",None
@felipesaleh la gracia de arjona es que son rimas a nivel del semc,None
quizas en otras vidas... quizas en otras muertes ...,None
"#vina2010 arjona chanta dice ""los premios no hay que pedirlo ",None
la señora se harà pipi ! #arjona #viña2010,None
@marcoporchile cuando se habla de sus cualidades terapeutica siempre se olvida la mas impotant,None
@yamijones ciert,None
viendo a ricardo arjona (llllllllllllllllllllllllllllllllllllllllllllllllllllllll),None
hoy contabilicé 43 #ff y 5 #ffespecial :),None
por lo menos la mina se tomo la sopa...,None
@mi hermana ledijo al martin que soy mongolito que no entendi y el se echo a reir ?,None
@maur475 eso es poco  :/,None
por favor que sea tt #mileydaymarch24th // please be tt #mileydaymarch24th,None
@pablobarra volvió el freewiken de entel??,None
#venezuelarockswithjonas por qué ya no somos tt en san antonio?,None
@isdestinyhope yo no puedo encontrar uno que suene como en el cd :/,None
mi hermana trabaja en el sheraton.. y conociÓ a amÉricoooo!!! ahh! xd,None
#demasiado elstark y algo mas @hotmail.com,None
@soledadonetto como sea arjona se ve bien! =d,None
ya queridos #mtuit... buenas noches... un agrado...,None
los que desafiaron la vida y la muerte http://bit.ly/cywwh1,None
@soledadonettohermoso tu vestido,None
al twitter con estas instituciones!! #ff para @profeco @gobiernodf @gobiernofederal @profeco @sismologicomx @canal22 @notimex @supremacorte,None
hoy me invitaron a krretiar y dije que no porque queria ver a arjon,None
por amo,None
salas cuna y jardines infantiles disponen de un nuevo plan integral de seguridad: el manual apunta a ... http://bit.ly/ddvuvd [ptomontt.cl],None
@pvergaram con respecto a que mi estimada?,None
@isetmycatonfire tito el bambino patudo de mierda yo creo que era para puro ganarle a don omar no vei que es el patrchon,None
@alitae link de combinaciones del vodka: http://bit.ly/cpyzs3,None
rt @shaamiih: http://twitpic.com/15jd1f - esto es lo que pasa despues de que  ,None
y que estoy enganchada a lo nuevo de julian casablancas.,None
#vina2010 #fv10 ¿ las apuestas ? con gaviota ya!!,None
y la gente cree que #arjonachanta es un poeta... #fv10,None
rt @cone_dreamer: rt si pensas que los @jonasbrothers son solo de sus fans y que no te importa con quien salgan o a quien le escriban. j ...,None
rt @eslaverdad1: por los que a veces quisieran agarrar a esa persona y decirle todo!,None
"por ke &$%""$% canal 13 hizo eso con fanny_lu ",None
no se escribir haciendo xd asdkjaskldj :s,None
rt @jumastorga: rt @panchodays: el escenario de arjona parece los techos por donde arranco el brayan // jajaja #mtuit,None
busco durante 2 rondas el canal chileno en la ex tv de mi hermana [antichilena =(] y luego se me prendió la vela..lo habia eliminado :p,None
mueroo!!! amo esta cancion t.t!,None
@festivina2010 ojala dure poco arjona!! es de los artistas que no tiene respeto por los demas artistas y canta canta canta canta y canta,None
para los mentirosos (as) que dicen no conocer los moteles... ahi les va un link... mas q obvio jajaja http://bit.ly/ayevra,None
@mrdembow787 a mi me lo dijo en su chat... hiba a estar produciendo pa dy mundia,None
@soledadonetto la niña rubia es igual a ti.. jajajajajjaaj saludos desde talca - http://filesocial.com/calbtsv,None
@mellamocarla  xddd buena!  hoy tuve pelo de leo rey! xd me lave el pelo y no me lo seque. tenía hartos rulos =3=,None
#vinaenvivo porque usan playback???!!!!!! http://bit.ly/dsdja4,None
cabros: ¿han probado este manjar? http://twitpic.com/15ji2m,None
y dj mendez la rompía en sueci,None
@tuckerchile chicas se me es de mucha importancia comunicarme con ustedes gracias,None
@soledadonetto ypo sole q todavia keda arjona po!!!manden a comerciales y se hacen los lesos!!,None
@soledadonetto se nota que quieren bajar luego a la noche.. por la presentación de arjona...,None
pucha si pudiera partir la pantalla por la mitad para ver el festival y asi somos seria bkn,None
me agradan algunos de sus clásico,None
@soledadonetto esta es muy buena también,None
@soledadonetto  es muy buena esa cncion,None
el problema no es el dañ,None
@reporteropop el problema es que la quinta va a quedar pasada a pipi con toas las minas...,None
@jowell1 mi loco tengo un hablaito pendiente contigo shi shi! tq,None
http://twitpic.com/15k6hc - les presento a el nuevo tenista aaaaaaaaaaaaaaaaaaaaaaaa xd,None
el reloj de pared....(8) con karaoke!! cool,None
